,Name,City,INN,reliable,dobro_mail,need_help,https
0,"Благотворительный фонд социальной поддержки населения ""Вместе""",Благовещенск РБ,1,1,1,1,0
1,Благотворительный фонд помощи тяжело больным детям «Особенные дети»,Уфа,1,1,1,1,0
2,"Автономная некоммерческая медицинская организация ""Уфимский хоспис""",Уфа,1,1,1,1,0
3,"Детский Благотворительный Фонд ""С Любовью""",Уфа,1,1,1,1,1
4,"Благотворительный фонд помощи тяжелобольным детям ""Потерь нет""",Уфа,1,1,1,1,0
5,"Благотворительный Фонд экологического просвещения, социальной поддержки населения, развития народных ремесел и декоративно-прикладного творчества ""Твердая почва""","г. Уфа , Республика Башкортостан",1,1,1,1,0
6,"Благотворительный фонд ""Благо Дари""",Гатчина,1,1,1,1,1
7,"Благотворительный фонд ""Надежда""","Москва, Махачкала, Лондон",1,1,1,1,0
8,"Благотворительный фонд содействия образовательным, культурным и социальным проектам ""Село""",Москва,1,1,1,1,0
9,"Некоммерческая организация благотворительный фонд ""Мял""",Магас,1,1,1,1,0
10,"Карельская региональная общественная организация защиты животных ""Первый приют""",Петрозаводск,1,1,1,1,0
11,"Карельская региональная общественная организация помощи лицам, страдающим психическими расстройствами, их родственников и специалистов, работающих в сфере психического здоровья ""Преодоление""",Кондопога,1,1,1,1,0
12,Фонд «Друзья»,Москва,1,1,1,1,0
13,Добрая Марий Эл,Йошкар-Ола,1,1,1,1,0
14,"Автономная некоммерческая организация гражданско-патриотического развития молодежи ""Подвиги""",Саранск,1,1,1,1,0
15,"РОД ""Ресурсный центр социальных технологий Республики Саха (Якутия)""",Якутск,1,1,1,1,0
16,"Автономная некоммерческая организация ""Центр содействия реализации социально-культурных и благотворительных проектов ""Филантроп""",Казань,1,1,1,1,0
17,"АНО ""Центр организации спортивно-массовых мероприятий ""СПОРТ БУДУЩЕГО""",Казань,1,1,1,1,0
18,Фонд Светланы Изамбаевой,Казань,1,1,1,1,0
19,"Благотворительный фонд ""Подари ЗАВТРА!""",Ижевск,1,1,1,1,0
20,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""СИЛЬНЫЕ ДЕТИ""",Чебоксары,1,0,1,1,0
21,"Чувашская региональная общественная организация содействия в решении социальных проблем семьи и человека ""МИР ДОБРА""",Чебоксары,1,1,1,1,0
22,"ФОНД ПОМОЩИ МНОГОДЕТНЫМ И МАЛОИМУЩИМ СЕМЬЯМ, ДЕТЯМ-СИРОТАМ, ДЕТЯМ, ОСТАВШИМСЯ БЕЗ ПОПЕЧЕНИЯ РОДИТЕЛЕЙ И ЛЮДЯМ, ПОПАВШИМ В СЛОЖНУЮ ЖИЗНЕННУЮ СИТУАЦИЮ ""ОБЛАКА""",Барнаул,1,1,1,1,0
23,"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""АУРЕЯ""",УЯР,1,0,1,1,0
24,Красноярский Региональный Фонд «Красноярье без сирот»,Красноярск,1,1,1,1,0
25,"Автономная некоммерческая организация ""Центр социально-психологической реабилитации онкологических больных и лиц групп риска ""ВМЕСТЕ ПРОТИВ РАКА""",Красноярск,1,1,1,1,0
26,"Детский благотворительный фонд ""Счастливые дети""",Красноярск,1,1,1,1,1
27,"Благотворительный фонд помощи детям ""Ренессанс""",Владивосток,1,1,1,1,0
28,"Хабаровская краевая общественная организация замещающих семей ""Чужих детей не бывает""",Хабаровск,1,1,1,1,0
29,"Некоммерческий благотворительный фонд помощи нуждающимся ""Взамен""",Архангельск,1,1,1,1,0
30,"Автономная некоммерческая организация Центр социальной помощи ""Смысл есть""","Мирный, Архангельская область",1,1,1,1,0
31,"Благотворительный фонд ""Стрелиция""",Юрьев-Польский,1,1,1,1,0
